iter	Passed	Remaining
299	2625	1750
300	2639	1745
301	2655	1740
302	2664	1732
303	2678	1726
304	2709	1731
305	2723	1726
306	2738	1721
307	2744	1710
308	2750	1699
309	2756	1689
310	2762	1678
311	2768	1668
312	2774	1657
313	2779	1646
314	2785	1635
315	2790	1625
316	2796	1614
317	2802	1603
318	2809	1593
319	2814	1583
320	2820	1572
321	2825	1561
322	2831	1551
323	2843	1544
324	2855	1537
325	2861	1527
326	2867	1517
327	2873	1506
328	2879	1496
329	2884	1486
330	2890	1475
331	2895	1465
332	2901	1455
333	2907	1444
334	2913	1434
335	2918	1424
336	2924	1414
337	2930	1404
338	2936	1394
339	2941	1384
340	2947	1374
341	2953	1364
342	2958	1354
343	2964	1344
344	2970	1334
345	2976	1324
346	2982	1315
347	2988	1305
348	2993	1295
349	2999	1285
350	3005	1275
351	3010	1265
352	3016	1255
353	3021	1246
354	3027	1236
355	3032	1226
356	3038	1217
357	3044	1207
358	3050	1198
359	3055	1188
360	3062	1179
361	3069	1170
362	3075	1160
363	3080	1151
364	3086	1141
365	3092	1132
366	3097	1122
367	3104	1113
368	3110	1104
369	3124	1097
370	3141	1092
371	3155	1085
372	3168	1078
373	3187	1073
374	3198	1066
375	3205	1056
376	3211	1047
377	3219	1039
378	3225	1029
379	3231	1020
380	3238	1011
381	3244	1002
382	3250	993
383	3257	983
384	3263	974
385	3271	966
386	3277	956
387	3283	947
388	3290	938
389	3296	929
390	3303	920
391	3308	911
392	3314	902
393	3320	893
394	3326	884
395	3332	875
396	3341	867
397	3348	858
398	3353	848
399	3359	839
400	3365	830
401	3371	821
402	3377	813
403	3384	804
404	3391	795
405	3397	786
406	3404	777
407	3410	768
408	3416	760
409	3423	751
410	3428	742
411	3436	734
412	3444	725
413	3451	717
414	3457	708
415	3463	699
416	3470	690
417	3477	682
418	3484	673
419	3490	664
420	3498	656
421	3512	649
422	3518	640
423	3534	633
424	3541	625
425	3547	616
426	3555	607
427	3561	599
428	3568	590
429	3574	581
430	3581	573
431	3589	565
432	3598	556
433	3605	548
434	3612	539
435	3617	531
436	3623	522
437	3628	513
438	3634	505
439	3648	497
440	3655	489
441	3669	481
442	3675	472
443	3684	464
444	3690	456
445	3697	447
446	3704	439
447	3712	430
448	3718	422
449	3725	413
450	3731	405
451	3737	396
452	3743	388
453	3749	379
454	3755	371
455	3761	362
456	3766	354
457	3771	345
458	3777	337
459	3783	329
460	3789	320
461	3799	312
462	3807	304
463	3815	296
464	3824	287
465	3831	279
466	3837	271
467	3845	262
468	3853	254
469	3870	247
470	3893	239
471	3912	232
472	3930	224
473	3946	216
474	3965	208
475	3980	200
476	3996	192
477	4008	184
478	4014	175
479	4020	167
480	4032	159
481	4046	151
482	4053	142
483	4059	134
484	4065	125
485	4071	117
486	4077	108
487	4083	100
488	4089	92
489	4095	83
490	4101	75
491	4108	66
492	4113	58
493	4119	50
494	4125	41
495	4131	33
496	4137	24
497	4143	16
498	4149	8
499	4155	0
